bri,mired,watt
131,433,2.15
131,443,2.05
131,453,1.99
131,454,1.99
136,153,2.18
136,163,2.16
136,173,2.2
136,183,2.29
136,193,2.32
136,203,2.31
136,213,2.44
136,223,2.46
136,233,2.47
136,243,2.58
136,253,2.58
136,263,2.64
136,273,2.64
136,283,2.67
136,293,2.62
136,303,2.63
136,313,2.6
136,323,2.61
136,333,2.62
136,343,2.62
136,353,2.63
136,363,2.65
136,373,2.61
136,383,2.6
136,393,2.49
136,403,2.45
136,413,2.36
136,423,2.33
136,433,2.25
136,443,2.15
136,453,2.1
136,454,2.02
141,153,2.27
141,163,2.28
141,173,2.33
141,183,2.37
141,193,2.38
141,203,2.49
141,213,2.47
141,223,2.53
141,233,2.6
141,243,2.62
141,253,2.75
141,263,2.76
141,273,2.78
141,283,2.75
141,293,2.72
141,303,2.75
141,313,2.75
141,323,2.72
141,333,2.73
141,343,2.73
141,353,2.73
141,363,2.79
141,373,2.73
141,383,2.73
141,393,2.63
141,403,2.55
141,413,2.46
141,423,2.35
141,433,2.33
141,443,2.22
141,453,2.17
141,454,2.12
146,153,2.38
146,163,2.36
146,173,2.38
146,183,2.46
146,193,2.49
146,203,2.59
146,213,2.64
146,223,2.67
146,233,2.68
146,243,2.76
146,253,2.83
146,263,2.9
146,273,2.9
146,283,2.88
146,293,2.87
146,303,2.85
146,313,2.85
146,323,2.84
146,333,2.85
146,343,2.83
146,353,2.87
146,363,2.87
146,373,2.87
146,383,2.85
146,393,2.71
146,403,2.7
146,413,2.56
146,423,2.48
146,433,2.43
146,443,2.29
146,453,2.27
146,454,2.21
151,153,2.44
151,163,2.43
151,173,2.48
151,183,2.57
151,193,2.55
151,203,2.61
151,213,2.71
151,223,2.77
151,233,2.81
151,243,2.84
151,253,2.94
151,263,3.02
151,273,3.01
151,283,2.96
151,293,2.98
151,303,2.98
151,313,3.0
151,323,2.98
151,333,2.96
151,343,3.0
151,353,2.99
151,363,3.0
151,373,3.0
151,383,2.99
151,393,2.85
151,403,2.83
151,413,2.7
151,423,2.58
151,433,2.52
151,443,2.38
151,453,2.37
151,454,2.29
156,153,2.56
156,163,2.52
156,173,2.58
156,183,2.66
156,193,2.75
156,203,2.79
156,213,2.86
156,223,2.89
156,233,2.96
156,243,3.07
156,253,3.08
156,263,3.12
156,273,3.15
156,283,3.16
156,293,3.12
156,303,3.14
156,313,3.1
156,323,3.1
156,333,3.1
156,343,3.12
156,353,3.13
156,363,3.1
156,373,3.15
156,383,3.13
156,393,2.98
156,403,2.88
156,413,2.75
156,423,2.73
156,433,2.65
156,443,2.46
156,453,2.42
156,454,2.35
