bri,mired,watt
136,423,3.4
136,433,3.42
136,443,3.37
136,453,3.38
136,454,3.29
141,153,3.38
141,163,3.38
141,173,3.46
141,183,3.5
141,193,3.58
141,203,3.69
141,213,3.73
141,223,3.87
141,233,3.89
141,243,4.0
141,253,4.12
141,263,4.23
141,273,4.2
141,283,4.12
141,293,4.09
141,303,4.05
141,313,4.0
141,323,3.94
141,333,3.92
141,343,3.92
141,353,3.88
141,363,3.79
141,373,3.72
141,383,3.66
141,393,3.67
141,403,3.62
141,413,3.55
141,423,3.54
141,433,3.54
141,443,3.52
141,453,3.48
141,454,3.44
146,153,3.47
146,163,3.5
146,173,3.56
146,183,3.67
146,193,3.76
146,203,3.88
146,213,3.85
146,223,3.95
146,233,4.04
146,243,4.21
146,253,4.22
146,263,4.37
146,273,4.35
146,283,4.29
146,293,4.29
146,303,4.21
146,313,4.17
146,323,4.17
146,333,4.09
146,343,4.08
146,353,4.04
146,363,3.94
146,373,3.88
146,383,2.57
146,393,3.06
146,403,3.73
146,413,3.69
146,423,3.63
146,433,3.67
146,443,3.66
146,453,3.63
146,454,3.58
151,153,3.6
151,163,3.6
151,173,3.73
151,183,3.77
151,193,3.88
151,203,3.9
151,213,4.01
151,223,4.12
151,233,4.2
151,243,4.38
151,253,4.41
151,263,4.59
151,273,4.57
151,283,4.49
151,293,4.5
151,303,4.38
151,313,4.34
151,323,4.33
151,333,4.29
151,343,4.2
151,353,4.07
151,363,4.1
151,373,4.03
151,383,3.96
151,393,3.94
151,403,3.84
151,413,3.85
151,423,3.8
151,433,3.79
151,443,3.79
151,453,3.78
151,454,3.79
156,153,3.69
156,163,3.74
156,173,3.77
156,183,3.91
156,193,3.98
156,203,2.13
156,213,2.9
156,223,4.29
156,233,4.3
156,243,4.5
156,253,4.62
156,263,4.69
156,273,4.66
156,283,4.66
156,293,4.53
156,303,4.54
156,313,4.51
156,323,4.5
156,333,4.47
156,343,4.41
156,353,4.3
156,363,4.26
156,373,4.14
156,383,4.14
156,393,4.1
156,403,4.07
156,413,4.0
156,423,3.98
156,433,3.94
156,443,3.96
156,453,2.98
156,454,3.29
161,153,3.85
161,163,3.9
161,173,3.92
161,183,4.03
161,193,4.18
161,203,4.28
161,213,4.41
161,223,4.44
161,233,4.54
161,243,4.67
161,253,4.83
161,263,4.88
161,273,4.86
161,283,4.83
161,293,4.78
161,303,4.78
161,313,4.71
161,323,4.64
161,333,4.62
161,343,4.56
161,353,4.5
161,363,4.4
161,373,4.34
161,383,4.28
161,393,4.19
161,403,4.16
161,413,4.11
161,423,4.07
161,433,4.07
161,443,4.03
161,453,3.96
161,454,3.91
166,153,3.96
166,163,3.97
166,173,1.44
166,183,3.58
166,193,4.22
166,203,4.3
166,213,4.5
166,223,4.58
166,233,4.73
166,243,4.79
166,253,5.0
166,263,5.08
166,273,5.05
166,283,5.04
166,293,5.01
166,303,4.94
166,313,4.87
166,323,4.83
166,333,4.79
166,343,4.71
166,353,4.63
166,363,4.58
166,373,4.47
166,383,4.45
166,393,4.35
166,403,4.33
166,413,4.25
166,423,4.24
166,433,4.24
166,443,4.23
166,453,4.14
166,454,4.13
171,153,4.14
171,163,4.1
171,173,4.17
171,183,4.33
171,193,4.41
171,203,4.57
171,213,4.61
171,223,4.75
171,233,4.88
171,243,5.05
171,253,5.25
171,263,5.33
171,273,5.3
171,283,5.25
171,293,5.2
171,303,5.16
171,313,5.12
171,323,3.6
171,333,4.76
171,343,4.86
171,353,4.78
171,363,4.72
171,373,4.67
171,383,4.58
171,393,4.52
171,403,4.44
171,413,4.42
171,423,4.34
171,433,4.38
171,443,4.33
171,453,4.34
171,454,4.24
176,153,4.26
176,163,4.32
176,173,4.36
176,183,4.54
176,193,4.64
176,203,4.76
176,213,4.79
176,223,4.98
176,233,5.08
176,243,5.33
176,253,5.38
176,263,5.52
176,273,4.89
176,283,3.55
176,293,4.31
176,303,5.16
176,313,5.26
176,323,5.18
176,333,5.13
176,343,5.1
176,353,4.99
176,363,4.88
176,373,4.83
176,383,4.71
176,393,4.71
176,403,4.66
176,413,4.53
176,423,4.08
176,433,4.33
176,443,4.5
176,453,4.43
176,454,4.37
181,153,4.37
181,163,4.45
181,173,4.49
181,183,4.61
181,193,4.78
181,203,4.92
181,213,5.03
181,223,5.1
181,233,5.3
181,243,5.46
181,253,5.7
181,263,5.76
181,273,5.78
181,283,5.17
181,293,5.51
181,303,5.5
181,313,5.5
181,323,5.38
181,333,5.33
181,343,5.18
181,353,5.18
181,363,5.11
181,373,4.97
181,383,4.95
181,393,4.84
181,403,4.83
181,413,4.74
181,423,4.7
181,433,4.68
181,443,4.71
181,453,4.58
181,454,4.53
186,153,4.56
186,163,4.55
186,173,4.71
186,183,4.76
186,193,1.66
186,203,4.63
186,213,5.09
186,223,5.17
186,233,5.52
186,243,5.71
186,253,5.82
186,263,6.03
186,273,5.99
186,283,5.92
186,293,5.83
186,303,5.83
186,313,5.73
186,323,5.64
186,333,5.54
186,343,5.39
186,353,5.37
186,363,5.29
186,373,5.18
186,383,5.13
186,393,5.0
186,403,4.96
186,413,4.89
186,423,4.87
186,433,4.88
186,443,4.87
186,453,4.78
186,454,4.73
191,153,4.71
191,163,4.7
191,173,4.82
191,183,4.96
191,193,5.09
191,203,5.33
191,213,5.34
191,223,5.47
191,233,5.69
191,243,6.0
191,253,6.07
191,263,6.28
191,273,6.24
191,283,6.24
191,293,6.06
191,303,5.99
191,313,5.88
191,323,5.82
191,333,5.74
191,343,5.61
191,353,5.55
191,363,5.42
191,373,5.4
191,383,5.38
191,393,5.25
191,403,5.15
191,413,5.04
191,423,5.06
191,433,4.8
191,443,4.99
191,453,4.95
191,454,4.9
196,153,4.83
196,163,4.89
196,173,5.08
196,183,5.14
196,193,5.29
196,203,5.46
196,213,5.59
196,223,5.67
196,233,5.96
196,243,6.13
196,253,6.4
196,263,6.47
196,273,6.53
196,283,6.46
196,293,6.28
196,303,5.32
196,313,3.73
196,323,4.59
196,333,5.74
196,343,5.78
196,353,5.74
196,363,5.62
196,373,5.61
196,383,5.55
196,393,5.43
196,403,5.32
196,413,5.25
196,423,5.26
196,433,5.23
196,443,5.26
196,453,5.22
196,454,4.98
201,153,5.03
201,163,5.02
201,173,5.21
201,183,3.74
201,193,4.42
201,203,5.66
201,213,5.81
201,223,6.05
201,233,6.08
201,243,6.51
201,253,6.65
201,263,6.75
201,273,6.8
201,283,6.64
201,293,6.58
201,303,6.53
201,313,6.38
201,323,6.14
201,333,6.16
201,343,6.08
201,353,5.97
201,363,5.89
201,373,5.79
201,383,5.78
201,393,5.68
201,403,5.54
201,413,5.46
201,423,5.38
201,433,5.4
201,443,5.43
201,453,5.34
201,454,5.18
206,153,5.2
206,163,5.25
206,173,5.29
206,183,5.54
206,193,5.71
206,203,5.86
206,213,6.08
206,223,6.21
206,233,6.28
206,243,6.61
206,253,6.94
206,263,7.07
206,273,6.35
206,283,6.58
206,293,6.78
206,303,6.71
206,313,6.61
206,323,6.43
206,333,6.4
206,343,6.33
206,353,6.2
206,363,6.14
206,373,4.95
206,383,3.1
206,393,4.89
206,403,5.57
206,413,5.64
206,423,5.61
206,433,5.62
206,443,5.65
206,453,5.62
206,454,5.37
211,153,5.34
211,163,5.37
211,173,5.62
211,183,5.76
211,193,5.83
211,203,6.11
211,213,6.26
211,223,6.51
211,233,6.59
211,243,7.0
211,253,7.21
211,263,7.32
211,273,2.65
211,283,6.07
211,293,6.47
211,303,6.91
211,313,6.83
211,323,6.66
211,333,6.66
211,343,6.54
211,353,6.47
211,363,6.36
211,373,6.32
211,383,6.22
211,393,6.11
211,403,6.01
211,413,5.88
211,423,5.85
211,433,5.88
211,443,5.91
211,453,5.8
211,454,5.6
216,153,5.55
216,163,5.63
216,173,5.76
216,183,5.98
216,193,4.67
216,203,2.94
216,213,6.31
216,223,6.77
216,233,6.83
216,243,7.12
216,253,7.5
216,263,7.67
216,273,7.54
216,283,7.5
216,293,7.33
216,303,7.15
216,313,7.08
216,323,6.96
216,333,6.84
216,343,6.76
216,353,6.76
216,363,6.64
216,373,6.51
216,383,6.42
216,393,6.37
216,403,6.18
216,413,6.1
216,423,6.1
216,433,6.09
216,443,6.15
216,453,6.02
216,454,5.82
221,153,5.78
221,163,5.75
221,173,6.01
221,183,6.07
221,193,6.42
221,203,6.58
221,213,6.79
221,223,6.95
221,233,7.29
221,243,7.63
221,253,7.93
221,263,7.99
221,273,7.88
221,283,7.7
221,293,7.59
221,303,7.37
221,313,7.36
221,323,7.25
221,333,6.97
221,343,3.56
221,353,4.86
221,363,6.83
221,373,6.79
221,383,6.64
221,393,6.61
221,403,6.41
221,413,6.31
221,423,6.3
221,433,6.36
221,443,6.39
221,453,6.3
221,454,6.0
226,153,5.95
226,163,6.02
226,173,6.09
226,183,6.38
226,193,6.64
226,203,6.84
226,213,7.08
226,223,7.17
226,233,7.47
226,243,7.87
226,253,8.18
226,263,8.31
226,273,8.28
226,283,8.06
226,293,7.93
226,303,7.78
226,313,7.63
226,323,7.53
226,333,7.4
226,343,7.39
226,353,7.29
226,363,7.18
226,373,7.11
226,383,6.94
226,393,6.9
226,403,6.72
226,413,6.61
226,423,6.56
226,433,6.58
226,443,6.63
226,453,6.46
226,454,6.24
231,153,6.18
231,163,6.21
231,173,6.44
231,183,6.51
231,193,6.82
231,203,7.1
231,213,7.29
231,223,7.58
231,233,7.67
231,243,8.06
231,253,8.45
231,263,8.7
231,273,8.61
231,283,8.38
231,293,8.32
231,303,7.98
231,313,7.87
231,323,7.84
231,333,7.78
231,343,7.66
231,353,7.54
231,363,7.39
231,373,7.38
231,383,7.27
231,393,7.07
231,403,7.04
231,413,6.81
231,423,6.83
231,433,6.89
231,443,6.92
231,453,6.74
231,454,6.51
236,153,6.38
236,163,6.45
236,173,6.66
236,183,6.89
236,193,7.2
236,203,7.42
236,213,7.5
236,223,7.91
236,233,8.12
236,243,8.12
236,253,9.07
236,263,9.12
236,273,8.86
236,283,8.82
236,293,8.6
236,303,8.36
236,313,8.21
236,323,8.08
236,333,8.09
236,343,7.96
236,353,7.83
236,363,7.79
236,373,7.71
236,383,7.55
236,393,7.33
236,403,7.26
236,413,7.12
236,423,7.11
236,433,7.17
236,443,7.22
236,453,7.11
236,454,6.79
241,153,6.61
241,163,6.67
241,173,6.96
241,183,7.2
241,193,7.27
241,203,7.67
241,213,7.83
241,223,8.04
241,233,8.54
241,243,9.03
241,253,9.29
241,263,9.41
241,273,9.37
241,283,9.16
241,293,8.89
241,303,8.78
241,313,8.6
241,323,8.55
241,333,8.46
241,343,8.27
241,353,8.2
241,363,8.01
241,373,7.97
241,383,7.97
241,393,7.66
241,403,7.5
241,413,7.41
241,423,7.41
241,433,7.42
241,443,7.46
241,453,7.3
241,454,7.01
246,153,6.88
246,163,7.03
246,173,7.1
246,183,7.46
246,193,7.71
246,203,8.01
246,213,8.13
246,223,8.71
246,233,8.79
246,243,9.31
246,253,9.56
246,263,9.8
246,273,9.69
246,283,9.49
246,293,9.3
246,303,9.12
246,313,8.96
246,323,8.92
